company_name,position_title,skills,min_experience,education,seniority,description_length,skills_count
"Davita, Inc.",Inventory Clerk,[],,,,277,0
DAVITA,Inventory Clerk,"[""nursing"", ""excel"", ""leadership"", ""communication"", ""attention to detail"", ""go"", ""medical"", ""patient care"", ""clinical""]",3.0,high school,mid,6596,9
Walmart,Inventory Clerk,"[""go""]",0.0,,,597,1
Superior Air-Ground Ambulance,Inventory Clerk,"[""excel"", ""communication"", ""time management"", ""rest"", ""medical""]",5.0,,senior,3304,5
Novo Distribution,Inventory Clerk,"[""leadership""]",0.0,,,142,1
Target Stores,Inventory Clerk,"[""medical""]",1.0,,junior,773,1
Great Lakes Ace Hardware,Inventory Coordinator,"[""go""]",5.0,,senior,2183,1
 State of Ohio Jobs,Civil Rights Investigator 1 - Columbus,"[""time management"", ""go"", ""sem"", ""aws""]",1.0,undergraduate,junior,4614,4
OTC Industrial Technologies,Credit Collections Lead,"[""excel"", ""communication"", ""time management"", ""negotiation"", ""go"", ""medical"", ""leadership""]",5.0,bachelor,senior,3582,7
Indeed,Staff Software Engineer - SMB - Marketing Enablement,"[""critical thinking"", ""leadership"", ""communication"", ""java"", ""time management"", ""rest"", ""agile"", ""go"", ""api"", ""creativity"", ""python""]",5.0,bachelor,senior,5898,11
ModMed,Patient Services Specialist (Remote),"[""excel"", ""communication"", ""sem"", ""adaptability"", ""go"", ""creativity"", ""medical"", ""emr""]",8.0,bachelor,manager,4214,8
FCX Performance,Accounts Receivable-FC,"[""excel"", ""communication"", ""attention to detail"", ""adaptability"", ""go"", ""medical"", ""leadership""]",5.0,high school,senior,3753,7
Dawson Resources,Collections,"[""bookkeeping"", ""critical thinking"", ""communication"", ""time management"", ""problem solving""]",8.0,high school,manager,2988,5
New York Life,Financial Professional – Financial / Insurance – Entry Level,"[""excel"", ""sem"", ""time management"", ""go"", ""leadership""]",1.0,,junior,5076,5
Country Financial,Insurance Agent,"[""communication"", ""teamwork"", ""creativity"", ""medical"", ""leadership"", ""rust""]",5.0,,senior,1702,6
Platinum Supplemental Insurance,Entry-Level Sales,"[""creativity""]",1.0,,junior,1498,1
LabCorp,Vice President/General Manager (VP/GM),"[""critical thinking"", ""communication"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""api"", ""creativity"", ""leadership"", ""clinical""]",5.0,bachelor,senior,4740,10
Legal Zoom,Vice President/Practice Leader of Tax,"[""tax"", ""communication"", ""aws"", ""time management"", ""go"", ""medical"", ""leadership"", ""rust""]",8.0,bachelor,manager,4221,8
Mathematica,"Senior Vice President and Managing Director, International Research","[""social media"", ""communication"", ""time management"", ""teamwork"", ""go"", ""api"", ""creativity"", ""medical"", ""problem solving"", ""leadership""]",5.0,phd,senior,6826,10
U.S. Bank,Customer Service - Fraud Liaison Specialist,"[""communication"", ""sem"", ""negotiation"", ""rest"", ""teamwork"", ""go"", ""creativity"", ""medical""]",2.0,high school,,4494,8
JPMorgan Chase and Co,Fraud Awareness Educator – Associate,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""go""]",1.0,,junior,1060,5
Barclays,Fraud Resolution Analyst,"[""critical thinking"", ""excel"", ""git"", ""communication"", ""rest"", ""creativity""]",8.0,,manager,2514,6
Regions Bank,Fraud Systems Analyst (REMOTE OPPORTUNITY),"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""rest"", ""adaptability"", ""medical"", ""problem solving""]",1.0,bachelor,junior,5177,8
eTeam,Fraud & Compliance - AML/BSA Specialist,"[""critical thinking"", ""excel"", ""communication"", ""go""]",5.0,high school,senior,1898,4
Aston Carter,Fraud Investigator,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""attention to detail"", ""creativity"", ""leadership""]",8.0,bachelor,manager,4505,7
Alsco,Office Clerk,"[""tax"", ""excel"", ""communication"", ""go"", ""medical"", ""leadership""]",8.0,master,manager,4080,6
American Cybersystems,Office Clerk,"[""attention to detail""]",2.0,master,,934,1
Central Health Solutions,General Office Clerk,"[""time management"", ""git"", ""bookkeeping"", ""go""]",1.0,,,1554,4
Randstad,Office Clerk,"[""time management"", ""excel"", ""leadership""]",8.0,master,manager,1600,3
The State of Florida,OPS DEPUTY CLERK,"[""critical thinking"", ""excel"", ""time management"", ""rest"", ""go"", ""creativity"", ""leadership""]",8.0,,manager,6912,7
Akerman LLP,Part-Time Office Services Clerk,"[""time management"", ""attention to detail"", ""excel""]",1.0,high school,,1249,3
"Magic Transport, Inc",General Office Clerk / Data Entry,"[""communication""]",0.0,,,478,1
"Accent Controls, Inc",General Clerk II,"[""time management"", ""go"", ""medical"", ""aws""]",5.0,,senior,2841,4
"Morgan  Morgan, P.A.",Runner (Mail Clerk),"[""excel"", ""communication"", ""aws"", ""time management"", ""go"", ""creativity"", ""medical"", ""leadership""]",1.0,high school,junior,3078,8
Jacksonville Job Corps Center,Clerical,"[""time management"", ""go""]",5.0,high school,senior,1218,2
State of OH-- Attorney General,Medicaid Fraud Intake Officer  (22000555),"[""tax"", ""critical thinking"", ""social media"", ""sap"", ""aws"", ""go"", ""api"", ""medical""]",5.0,bachelor,senior,4322,8
"Prince George's County, Maryland  Upper Marlboro, MD On-site",Investigator 1G,"[""time management"", ""rest"", ""go""]",1.0,bachelor,junior,4238,3
Hirschbach - Team Drivers,CDL Team Truck Driver and Lease Operators +,"[""rest"", ""go""]",5.0,,senior,2079,2
Ozark Logistics LLC,CDL-A Flatbed Truck Driver,"[""sem"", ""go""]",5.0,,senior,1788,2
JobsInLogistics.com,CDL A Regional Drivers,"[""medical""]",0.0,,,599,1
Innovative Cleaning Services LLC,Dump Truck Driver,"[""time management"", ""adaptability"", ""communication"", ""go""]",8.0,,manager,2206,4
POOLCORP,CDL Local Route Delivery Truck Driver,"[""excel"", ""communication"", ""sem"", ""go"", ""medical"", ""leadership""]",12.0,,executive,3131,6
Cardinal Logistics,CDL-A Truck Driver - $5K Sign On Bonus,"[""sem""]",0.0,,,932,1
"Transco Lines, Inc.","CDL A Team Drivers - Sign-On Bonus Up To $10,000!","[""excel"", ""medical"", ""sem""]",1.0,,,1513,3
Quality Carriers,Class A - Regional Truck Driver - Home Weekly - Out 2 Days or Less,"[""sem""]",0.0,,,858,1
"CRST Expedited - Regional Louisville, KY",Solo Class A CDL Driver,"[""rest"", ""medical"", ""adaptability"", ""aws""]",3.0,,mid,1485,4
PeopleConnect Staffing,CEO - Cannabis & Investment,"[""excel"", ""communication"", ""negotiation"", ""go"", ""api"", ""medical"", ""leadership""]",5.0,,senior,3044,7
Evolent Health,Chief of Staff,"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""creativity"", ""medical"", ""problem solving"", ""leadership""]",5.0,bachelor,senior,4911,11
Nikola Labs,CFO - Fast Growing Startup,"[""tax"", ""excel"", ""critical thinking"", ""communication"", ""time management"", ""adaptability"", ""go"", ""api"", ""creativity"", ""budgeting"", ""leadership"", ""rust""]",8.0,bachelor,manager,6583,12
Select Specialty Hospital-Columbus East,Chief Executive Officer (CEO),"[""nursing"", ""critical thinking"", ""excel"", ""leadership"", ""communication"", ""hipaa"", ""go"", ""api"", ""medical"", ""problem solving"", ""patient care"", ""rust""]",5.0,master,senior,4168,12
LifePoint Health,Chief Financial Officer (CFO),"[""tax"", ""sem"", ""time management"", ""go"", ""api"", ""medical"", ""leadership""]",5.0,master,senior,3362,7
Allstate,Allstate Agency Owner - CEO of You,"[""lead generation"", ""teamwork"", ""api"", ""budgeting"", ""leadership"", ""rust""]",5.0,,senior,3086,6
"Transtar Industries  Walton Hills, OH Remote ",Customer Service Representative - Remote,"[""critical thinking"", ""communication"", ""time management"", ""go"", ""problem solving"", ""leadership""]",1.0,high school,junior,4156,6
"Guest Supply  Grove City, OH Remote",Customer Service Representative (Work at Home),"[""excel"", ""leadership"", ""react"", ""communication"", ""time management"", ""attention to detail"", ""go"", ""problem solving""]",5.0,master,senior,5444,8
DEPARTMENT OF DEFENSE Defense Counterintelligence and Security Agency,Investigator,"[""communication"", ""time management"", ""attention to detail"", ""adaptability"", ""go""]",8.0,bachelor,manager,6325,5
DEPARTMENT OF JUSTICE Drug Enforcement Administration,Diversion Investigator,"[""nursing"", ""git"", ""leadership"", ""communication"", ""sem"", ""aws"", ""teamwork"", ""attention to detail"", ""go"", ""medical"", ""problem solving""]",12.0,master,executive,10563,11
"National Security Agency  Fort Meade, MD ",Polygraph Examiner - Entry to Mid-Level (MD),"[""critical thinking"", ""excel"", ""communication"", ""aws"", ""adaptability"", ""go"", ""creativity"", ""rust""]",3.0,phd,mid,7903,8
SPECIAL AGENT - GS 1811-10 (EXTERNAL - All U.S. Citizens),Special Agent,"[""rest"", ""medical"", ""go""]",12.0,phd,executive,6991,3
"Maryhaven, Inc.",MARKETING SPECIALIST,"[""crm"", ""google analytics"", ""social media"", ""sem"", ""communication"", ""time management"", ""go"", ""medical""]",8.0,bachelor,manager,1341,8
Pyramid Consulting,Marketing Specialist/ Brand Marketing || Work from Home,"[""excel"", ""git"", ""communication"", ""time management"", ""attention to detail"", ""adaptability"", ""creativity"", ""leadership""]",8.0,,manager,3197,8
Colliers I Columbus,Marketing Specialist,"[""critical thinking"", ""excel"", ""communication"", ""teamwork"", ""creativity""]",2.0,,,929,5
Wolters Kluwer,Marketing Specialist,"[""tax"", ""excel"", ""git"", ""communication"", ""critical thinking"", ""digital marketing"", ""time management"", ""adaptability"", ""go"", ""creativity"", ""salesforce""]",8.0,bachelor,manager,2780,11
Gravity,Marketing Event Coordinator,"[""excel"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""go"", ""leadership""]",5.0,,senior,1702,7
"Peraton  Arlington, VA","Background Investigator (FT Employee) - Arlington, VA","[""excel"", ""communication"", ""time management"", ""rest"", ""attention to detail"", ""go"", ""medical""]",2.0,bachelor,,4870,7
"CIA  Washington, DC On-site",Polygraph Examiner,"[""excel"", ""medical"", ""communication"", ""rust""]",1.0,bachelor,,3452,4
DCG TRADE,Construction Project Manager,"[""excel"", ""communication"", ""adaptability"", ""go"", ""leadership""]",5.0,bachelor,senior,1583,5
Haley & Aldrich,Project Manager (CCR focused),"[""critical thinking"", ""excel"", ""communication"", ""sem"", ""teamwork"", ""rest"", ""adaptability"", ""go"", ""api"", ""creativity"", ""leadership""]",5.0,master,senior,4281,11
"MCM Company, Inc.",Sr. Project Manager,"[""tax"", ""excel"", ""git"", ""communication"", ""critical thinking"", ""redis"", ""teamwork"", ""rest"", ""problem solving""]",5.0,master,senior,5965,9
"C&K Industrial Services, Inc.",Infrastructure Services Project Manager,"[""excel"", ""sem"", ""rest"", ""go"", ""medical""]",5.0,,senior,2926,5
Iontra LLC,Project Manager 100% Remote,"[""excel"", ""communication"", ""time management"", ""teamwork"", ""attention to detail"", ""agile"", ""go"", ""creativity"", ""leadership""]",8.0,master,manager,4362,9
Atlas,Environmental Project Manager,"[""excel"", ""aws"", ""time management"", ""problem solving"", ""leadership""]",5.0,bachelor,senior,2773,5
Professional Placement Services,Project Manager,"[""sap"", ""adaptability"", ""rest"", ""creativity"", ""leadership""]",8.0,bachelor,manager,1289,5
The Adcom Group,Digital Development Project Manager,"[""git"", ""excel"", ""communication"", ""time management"", ""teamwork"", ""agile"", ""go"", ""medical"", ""problem solving"", ""leadership""]",5.0,bachelor,senior,4521,10
THP Limited,Project Manager,"[""critical thinking"", ""excel"", ""communication""]",5.0,master,senior,1449,3
APEX Race Parts,Ecommerce Manager  Remote,"[""seo"", ""google analytics"", ""critical thinking"", ""email marketing"", ""git"", ""social media"", ""sem"", ""digital marketing"", ""teamwork"", ""time management"", ""go"", ""api"", ""creativity"", ""medical"", ""leadership""]",5.0,bachelor,senior,5540,15
Sherwin-Williams,Senior eCommerce Engineer,"[""docker"", ""critical thinking"", ""excel"", ""git"", ""communication"", ""java"", ""teamwork"", ""go"", ""creativity"", ""leadership""]",1.0,bachelor,junior,7742,10
Emerald Resource Group,E-Commerce Manager,"[""react"", ""java"", ""sql"", ""rest"", ""adaptability"", ""go"", ""api"", ""medical"", ""leadership""]",5.0,bachelor,senior,2317,9
Graybar,Remote E-Commerce Technical Analyst,"[""critical thinking"", ""excel"", ""communication"", ""sap"", ""time management"", ""teamwork"", ""rest"", ""adaptability"", ""creativity"", ""medical"", ""problem solving""]",8.0,,manager,4232,11
Apolis,IT Project Manager III - Contract to Hire - Fortune Client,"[""time management"", ""oracle"", ""rest"", ""communication""]",5.0,bachelor,senior,1533,4
Kantar,Ecommerce Consultant,"[""communication"", ""sem"", ""adaptability"", ""go"", ""creativity"", ""medical"", ""problem solving"", ""leadership"", ""rust""]",3.0,bachelor,mid,6749,9
Fortune Brands,Senior Project Manager - eCommerce-Certified Scrum Master,"[""seo"", ""critical thinking"", ""excel"", ""git"", ""communication"", ""adaptability"", ""agile"", ""go"", ""api"", ""creativity"", ""medical"", ""leadership"", ""rust""]",5.0,master,senior,3843,13
Smuckers,"Manager, Commerce Marketing","[""critical thinking"", ""excel"", ""git"", ""communication"", ""digital marketing"", ""teamwork"", ""rest"", ""agile"", ""go"", ""leadership""]",3.0,master,mid,4320,10
TEKsystems,Project Manager I/II- Remote,"[""budgeting"", ""sap"", ""leadership"", ""agile""]",8.0,master,manager,1987,4
Code3,Ecommerce Account Manager,"[""git"", ""communication"", ""digital marketing"", ""go"", ""creativity"", ""leadership""]",5.0,bachelor,senior,3684,6
Experian,Manager ecommerce,"[""critical thinking"", ""communication"", ""time management"", ""lead generation"", ""attention to detail"", ""teamwork"", ""go"", ""creativity"", ""leadership""]",5.0,bachelor,senior,5772,9
Quadient,Remote Customer Service Representative,"[""crm"", ""excel"", ""communication"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""creativity"", ""salesforce"", ""medical"", ""leadership"", ""rust""]",3.0,high school,mid,6112,12
Regular,Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...,"[""communication"", ""time management"", ""attention to detail"", ""rest"", ""adaptability"", ""problem solving"", ""leadership""]",5.0,master,senior,4200,7
SupportNinja,Customer Service Representative L2 (Work-At-Home),"[""excel"", ""communication"", ""time management"", ""lead generation"", ""problem solving"", ""leadership""]",1.0,bachelor,junior,3310,6
Upwork,Customer Service Representative,"[""excel"", ""rest"", ""go""]",1.0,,,1323,3
DFIN,Customer Service Representative - (1st Shift) - Remote,"[""communication"", ""time management"", ""teamwork"", ""rest"", ""adaptability"", ""agile"", ""go"", ""salesforce"", ""leadership""]",2.0,,,2942,9
American Income Life Insurance Company,Customer Service Representative / Remote,"[""excel"", ""communication"", ""go""]",1.0,,,1360,3
Moen,Part-Time Customer Service Representative (Remote),"[""communication"", ""sem"", ""teamwork"", ""adaptability"", ""go"", ""leadership""]",1.0,high school,junior,2525,6
Conduent,Remote Customer Service Associate,"[""excel"", ""communication"", ""go""]",1.0,master,junior,2823,3
Randstad USA,Work From Home Customer Service Representative,"[""tax"", ""excel"", ""communication"", ""adaptability"", ""go"", ""medical"", ""problem solving"", ""leadership""]",1.0,high school,junior,2697,8
Volt,Talent Acquisition Specialist / Recruiter,"[""crm"", ""communication"", ""time management"", ""teamwork"", ""go"", ""leadership""]",8.0,bachelor,manager,2859,6
"Cprime, Inc",Talent acquisition recruiter,"[""excel"", ""social media"", ""communication"", ""aws"", ""time management"", ""negotiation"", ""rest"", ""adaptability"", ""agile"", ""go"", ""creativity"", ""cpr"", ""medical"", ""leadership"", ""rust""]",3.0,,mid,7325,15
Conexess Group,Talent Acquisition Coordinator/ Technical Recruiter (100% Remote...,"[""time management"", ""excel"", ""communication"", ""sem""]",2.0,master,,2455,4
Southcoast Health,Talent Acquisition Advisor (Healthcare)   REMOTE,"[""nursing"", ""crm"", ""excel"", ""leadership"", ""social media"", ""communication"", ""negotiation"", ""rest"", ""teamwork"", ""adaptability"", ""go"", ""creativity"", ""cold calling"", ""patient care"", ""clinical""]",5.0,master,senior,5085,15
ACL Digital,Talent Acquisition Specialist,"[""time management"", ""go""]",1.0,,,534,2
ASML,Talent Acquisition Manager,"[""excel"", ""communication"", ""time management"", ""teamwork"", ""attention to detail"", ""adaptability"", ""go"", ""creativity"", ""problem solving"", ""leadership"", ""rust""]",5.0,bachelor,senior,4742,11
ALTEN,Senior Talent Acquisition Specialist,"[""negotiation"", ""go""]",5.0,,senior,1271,2
American Express,Recruiter,"[""adaptability"", ""leadership"", ""go""]",5.0,,senior,1023,3
YWCA Columbus,Chief Executive Officer,"[""time management"", ""negotiation"", ""creativity"", ""go"", ""leadership""]",5.0,,senior,1692,5
Platform Partners,Marketing Visionary,"[""communication"", ""time management"", ""go"", ""medical"", ""budgeting"", ""leadership""]",8.0,master,manager,2200,6
Home For Families,Marketing Specialist,"[""social media"", ""leadership"", ""communication""]",1.0,,,535,3
Caesars Entertainment,COORDINATOR - MARKETING,"[""excel"", ""git"", ""social media"", ""communication"", ""adaptability"", ""go"", ""leadership""]",5.0,bachelor,senior,4019,7
FleetCor,Digital Marketing Specialist (REMOTE),"[""google analytics"", ""critical thinking"", ""excel"", ""sem"", ""digital marketing"", ""teamwork"", ""time management"", ""leadership"", ""seo"", ""creativity"", ""communication"", ""rest"", ""adaptability"", ""salesforce"", ""crm"", ""tax"", ""git"", ""google ads"", ""social media"", ""go""]",5.0,,senior,10691,20
porkbun,Marketing Content Specialist (Remote),"[""critical thinking"", ""email marketing"", ""git"", ""social media"", ""digital marketing"", ""teamwork"", ""go"", ""creativity"", ""problem solving""]",1.0,,junior,3035,9
BDS Marketing,"Full Time Digital Marketing Specialist - Columbus, OH","[""seo"", ""google analytics"", ""critical thinking"", ""email marketing"", ""excel"", ""git"", ""google ads"", ""social media"", ""communication"", ""digital marketing"", ""time management"", ""go"", ""creativity"", ""content marketing""]",5.0,bachelor,senior,4663,14
Sykes,Customer Service Representative,"[""vue"", ""excel"", ""communication"", ""medical"", ""leadership"", ""rust""]",5.0,high school,senior,1973,6
Macys--Remote,Customer Service Representative ,"[""critical thinking"", ""git"", ""excel"", ""communication"", ""teamwork"", ""rest"", ""adaptability"", ""go"", ""medical"", ""problem solving""]",2.0,high school,,3655,10
Test Company,Test position,[],,,,14,0
"Chewy  Phoenix, AZ Remote",Customer Service Representative,"[""excel"", ""communication"", ""time management"", ""teamwork"", ""adaptability"", ""go"", ""api"", ""medical""]",8.0,high school,manager,5165,8
Dynamic Gymnastics,Coach,[],8.0,,manager,660,0
"Honors Holdings, LLC",Fitness Coach,"[""excel"", ""communication"", ""time management"", ""adaptability"", ""go"", ""cpr"", ""medical"", ""leadership""]",3.0,bachelor,mid,3880,8
Onelife Fitness,Strength & Conditioning Coach Jobs at Onelife Fitness – Falls...,"[""critical thinking"", ""excel"", ""communication"", ""sem"", ""aws"", ""time management"", ""rest"", ""attention to detail"", ""adaptability"", ""go"", ""cpr"", ""medical"", ""leadership"", ""rust""]",0.0,,intern,8411,14
Bread Financial,Fraud Representative,"[""git"", ""communication"", ""aws"", ""attention to detail"", ""adaptability""]",1.0,high school,junior,6303,5
Choice Recovery,Marketing Director,[],8.0,,manager,71,0
Blue Frog Solutions | Marketing Agency,HTML and Wordpress Developer,"[""javascript"", ""java"", ""teamwork"", ""attention to detail"", ""creativity""]",2.0,,,607,5
Swifty Web Agency,Wordpress Developer,"[""communication"", ""javascript"", ""java"", ""creativity"", ""go""]",8.0,,manager,1122,5
Shopcanal,E-commerce Strategist,[],,,,909,0
Tesla,Data Entry Clerk,"[""adaptability""]",0.0,,,682,1
Work From Home Toward Jobs,Data Entry Clerk,"[""excel"", ""adaptability""]",1.0,,,2253,2
Explore Job Search,Data Entry Clerk,[],,,,48,0
Wild Horse Remote Jobs,Data Entry Clerk,"[""git"", ""communication"", ""adaptability"", ""go"", ""medical""]",1.0,,junior,1851,5
Visron Technical LLC,Data Entry Specialist,"[""critical thinking"", ""communication"", ""go""]",1.0,high school,,2238,3
SimplyInsured,Data Entry Clerk,"[""medical""]",1.0,,junior,473,1
Kelly Services,Data Entry - Brecksville,"[""tax"", ""adaptability"", ""leadership"", ""go""]",1.0,,,2376,4
Brooklyn Legal Services Corporation A,"Attorney in Brooklyn, NY","[""rest""]",0.0,,,282,1
Yorkson Legal,Landlord Tenant Attorney,[],,,,570,0
"Connors And Sullivan Attorneys At Law, PLLC","Litigation - General/Commercial Attorney in Brooklyn, NY","[""adaptability""]",0.0,,,478,1
Brooklyn Legal Services Corporation a,Program Director / Supervising Attorney,"[""tax"", ""excel"", ""social media"", ""communication"", ""aws"", ""redis"", ""negotiation"", ""rest"", ""teamwork"", ""time management"", ""adaptability"", ""go"", ""leadership""]",3.0,,mid,6768,13
New York City Department of Finance,Enforcement Attorney,"[""tax"", ""excel"", ""communication"", ""aws"", ""adaptability"", ""go""]",5.0,,senior,5065,6
CAMBA,"Attorney, CAMBA Legal Services, Brooklyn","[""critical thinking"", ""excel"", ""communication"", ""time management"", ""go"", ""medical""]",5.0,phd,senior,3742,6
Brooklyn Defender Services,"Attorney in Brooklyn, NY","[""teamwork"", ""communication"", ""go"", ""rust""]",5.0,,senior,817,4
Access Justice Brooklyn,Staff Attorney,"[""tax"", ""communication"", ""time management"", ""negotiation"", ""attention to detail"", ""adaptability"", ""go"", ""creativity"", ""medical"", ""leadership""]",5.0,,senior,3334,10
FOOD IN MOTION INC.,Sales And Marketing Specialist,"[""time management""]",0.0,,,190,1
JPMorgan Chase,US Sales & Marketing - Consumer Specialist - Executive Director,"[""excel"", ""react"", ""time management"", ""attention to detail"", ""go"", ""api"", ""creativity"", ""leadership""]",5.0,,senior,3678,8
Prodigy Acquisitions,Sales & Marketing Specialist,"[""excel"", ""leadership""]",5.0,,senior,1153,2
"Thom Browne, Inc.",Marketing Specialist,"[""critical thinking"", ""excel"", ""git"", ""communication"", ""digital marketing"", ""teamwork"", ""attention to detail"", ""time management"", ""creativity""]",8.0,bachelor,manager,1793,9
The Trade Desk,Senior Sales Marketing Specialist (Programmatic),"[""critical thinking"", ""excel"", ""git"", ""communication"", ""time management"", ""attention to detail"", ""sales strategy"", ""creativity"", ""salesforce"", ""medical"", ""leadership""]",5.0,bachelor,senior,4953,11
ROSE,Sales and Marketing Coordinator,"[""seo"", ""excel"", ""git"", ""social media"", ""sem"", ""communication"", ""time management"", ""go"", ""creativity"", ""medical"", ""content marketing"", ""leadership""]",3.0,,mid,4972,12
Healthfirst,Marketing Specialist,"[""nursing"", ""seo"", ""critical thinking"", ""excel"", ""git"", ""communication"", ""time management"", ""teamwork"", ""attention to detail"", ""go"", ""medical"", ""problem solving"", ""leadership"", ""rust""]",5.0,bachelor,senior,5441,14
Pragma,Growth Marketing Specialist,"[""critical thinking"", ""excel"", ""time management"", ""teamwork"", ""attention to detail"", ""creativity"", ""problem solving""]",2.0,,,1782,7
Design Resources Group Architects AIA,Marketing Coordinator,"[""excel"", ""social media"", ""communication"", ""time management"", ""teamwork"", ""rest"", ""adaptability"", ""creativity"", ""medical"", ""leadership""]",5.0,bachelor,senior,2498,10
iDesign Marketing Group,Social Media Manager,"[""copywriting"", ""critical thinking"", ""excel"", ""social media"", ""communication"", ""nursing""]",8.0,,manager,552,6
VirtualVocations,Email marketing specialist,"[""email marketing""]",0.0,,,555,1
Promise Care NJ,Pharmacy Marketing Representative,"[""time management"", ""excel"", ""communication"", ""go""]",1.0,,,1218,4
MedCerts,Career Coach (Remote),"[""crm"", ""excel"", ""teamwork"", ""adaptability"", ""go"", ""creativity"", ""salesforce"", ""clinical""]",2.0,master,,4384,8
Springboard,Career Coach Waitlist (Part-time/Contract/US Remote),"[""crm"", ""communication"", ""teamwork"", ""rest"", ""attention to detail"", ""adaptability"", ""agile"", ""go"", ""spring""]",8.0,,manager,4053,9
Rora (Formerly Ralph),Career Advisor (Career Coach),"[""go"", ""api""]",5.0,,senior,2436,2
App Academy,"Career Coach, Alumni Talent Services","[""communication"", ""time management"", ""teamwork"", ""rest"", ""go"", ""problem solving"", ""leadership""]",3.0,,mid,4581,7
Medcerts,Career Coach (Remote),"[""crm"", ""excel"", ""teamwork"", ""adaptability"", ""go"", ""creativity"", ""salesforce"", ""clinical""]",2.0,master,,3549,8
Ancora Education,Career Services Coach-Remote Full Time,"[""vue"", ""excel"", ""communication"", ""sem"", ""time management"", ""teamwork"", ""go""]",1.0,bachelor,junior,4446,7
Placement,Career Coach,"[""communication"", ""time management"", ""negotiation"", ""adaptability"", ""go"", ""api""]",3.0,bachelor,mid,2739,6
Pathrise,Career Coach (Remote Accepted),"[""rest"", ""aws""]",3.0,,,2355,2
Punchh,Technical Support Agent (Remote),"[""critical thinking"", ""leadership"", ""communication"", ""aws"", ""rest"", ""go"", ""problem solving""]",1.0,,junior,3578,7
Genesis Digital LLC,Remote Technical Support Agent,"[""git"", ""communication"", ""go"", ""medical"", ""leadership""]",5.0,,senior,3110,5
Alorica,Technical Support Representative - Work from Home!,"[""critical thinking"", ""excel"", ""social media"", ""communication"", ""time management"", ""adaptability"", ""go"", ""salesforce"", ""medical"", ""leadership""]",8.0,bachelor,manager,5951,10
Salesloft,Technical Support Agent (Remote),"[""critical thinking"", ""excel"", ""communication"", ""time management"", ""salesforce"", ""problem solving"", ""leadership""]",8.0,,manager,4822,7
ExecOnline,Part-Time Technical Support Agent (Remote),"[""crm"", ""communication"", ""time management"", ""adaptability"", ""go"", ""api"", ""salesforce"", ""creativity"", ""medical"", ""leadership""]",8.0,,manager,5188,10
Live Your Message,Customer Support Agent (remote),"[""crm"", ""email marketing"", ""excel"", ""react"", ""git"", ""social media"", ""time management"", ""rest"", ""go"", ""creativity"", ""problem solving""]",5.0,,senior,5939,11
Altoida,Technical Support Agent (Remote CT/MT/PT USA),"[""git"", ""communication"", ""adaptability"", ""go"", ""creativity"", ""medical"", ""clinical""]",5.0,,senior,3591,7
Minerva Project,Technical Support Agent (Remote),"[""communication"", ""attention to detail"", ""adaptability"", ""go"", ""creativity"", ""leadership""]",12.0,master,executive,3175,6
"Solera, Inc.",Tech Support Agent - Remote US,"[""critical thinking"", ""git"", ""react"", ""go"", ""creativity"", ""salesforce"", ""problem solving"", ""leadership""]",8.0,high school,manager,3886,8
University Hospitals Careers,Clinical Educator Part Time,"[""nursing"", ""excel"", ""leadership"", ""go"", ""api"", ""medical"", ""patient care"", ""clinical""]",5.0,,senior,1171,8
Cleveland Clinic,Perioperative Educator,"[""critical thinking"", ""nursing"", ""go"", ""clinical""]",5.0,master,senior,2928,4
Soliant,Special Education Teacher 2022/2023 School Year,"[""tax""]",0.0,bachelor,,704,1
KinderCare Education,Teachers at Alpha Park KinderCare,"[""communication"", ""sem"", ""go"", ""cpr"", ""medical"", ""leadership""]",1.0,bachelor,junior,2764,6
"The Renaissance Network, Inc.","K-12 Director of Educational Partnerships, Northeast - Remote #1931","[""git"", ""teamwork"", ""rest"", ""agile"", ""go"", ""leadership""]",5.0,master,senior,3372,6
Smith and Hartman Performance Group,Remote Education Advocate,"[""social media"", ""aws"", ""time management"", ""lead generation"", ""attention to detail"", ""go"", ""creativity"", ""leadership""]",5.0,,senior,2496,8
Abiomed,Cardiology Clinical Educator - Cleveland,"[""leadership"", ""communication"", ""aws"", ""teamwork"", ""go"", ""api"", ""creativity"", ""medical"", ""patient care"", ""clinical""]",5.0,master,senior,3091,10
MKTG,"Brand Educator - Cleveland, Ohio (Remote)","[""git"", ""social media"", ""adaptability"", ""go"", ""leadership"", ""rust""]",3.0,,mid,3877,6
UC San Diego Medical Center,Senior Project Manager,"[""seo"", ""critical thinking"", ""excel"", ""communication"", ""sem"", ""negotiation"", ""go"", ""api"", ""cpr"", ""medical"", ""leadership"", ""clinical""]",5.0,bachelor,senior,8423,12
Globalization Partners,Project Manager,"[""crm"", ""communication"", ""agile"", ""go"", ""leadership""]",3.0,master,mid,6196,5
